devittes,sog,faceoff_win_rate,on_keeper_sog_faced,expected_goals_allowed,player,faceoffs_taken,usage_adjusted_EGA,EGA_per_game,shooting_pct,EGA,excess_saves,games_appeared_in,share_of_team_assists,save_pct,turnover_rate,faceoff_EGA,faceoff_wins,team_play_shares,penalties,caused_turnovers,excess_saves_per_sog,goals_allowed,excess_goals_scored,team_ID,assists,goals,offensive_EGA,excess_goals_per_shot,sog_faced,ID,turnovers,team_listed_role,shots_faced,defensive_EGA,faceoff_losses,weighted_team_play_shares,expected_goals_scored,on_keeper_rate_faced,sog_rate,seasons_played,sog_rate_faced,gbs,shots
0.0,0.0,1.0,,,Jack Collins,1.0,11.6012,0.175245,,0.175245,,1.0,0.0,,0.0,0.175245,1,0.000755287,0.0,0.0,,,,5,0.0,0.0,0.0,,,2140,0.0,A,,0.0,0,0.000203691,,,,8.0,,0.0,0.0
,,,,,John Gross,,,,,,,,,,,,,,,,,,,5,,,,,,20717,,M,,,,,,,,1.0,,,
0.0,0.0,,,,Miles Lipton,0.0,17.4268,0.189938,,0.189938,,1.0,0.0,,0.0,0.0,0,0.000544959,0.0,0.0,,,,5,0.0,0.0,0.0,,,16196,0.0,M,,0.189938,0,0.000735229,,,,2.0,,1.0,0.0
32.0,42.0,,,,Louis Perfetto,0.0,2.05799,2.86482,0.308824,37.2427,,13.0,0.252252,,0.164715,0.189938,0,0.0696023,1.0,8.0,,,-6.95139,5,28.0,21.0,31.4995,-0.102226,,1839,17.0,A,,5.55321,0,0.0944163,27.9514,,0.617647,3.0,,25.0,68.0
1.0,3.0,,,,Tommy Jepson,0.0,6.83208,0.452884,0.2,1.81154,,4.0,0.0,,0.0,0.0,0,0.00331439,0.0,1.0,,,-0.792879,5,0.0,1.0,1.45625,-0.158576,,16197,0.0,A,,0.355286,0,0.00383494,1.79288,,0.6,2.0,,1.0,5.0
0.0,0.0,,,,Colby Kim,0.0,15.1707,0.165348,,0.165348,,1.0,0.0,,0.0,0.0,0,0.000544959,0.0,1.0,,,,5,0.0,0.0,0.0,,,20718,0.0,D,,0.165348,0,0.000588183,,,,1.0,,0.0,0.0
33.0,84.0,,,,Vince DAlto,0.0,1.81343,3.62342,0.352941,47.1045,,13.0,0.234234,,0.251529,0.189938,0,0.0999053,0.0,7.0,,,-8.11983,5,26.0,42.0,41.3886,-0.0682339,,1841,35.0,A,,5.52601,0,0.127295,50.1198,,0.705882,3.0,,24.0,119.0
0.0,1.0,,,,Zach Travaglini,0.0,7.16012,0.203412,0.0,0.406825,,2.0,0.0,,0.0,0.0,0,0.00142045,0.0,0.0,,,-0.995869,5,0.0,0.0,0.216887,-0.497935,,20719,0.0,A,,0.189938,0,0.00171294,0.995869,,0.5,1.0,,1.0,2.0
,,,,,Stephen Gaskill III,,,,,,,,,,,,,,,,,,,5,,,,,,20720,,M,,,,,,,,1.0,,,
,,,,,Levi Lemke,,,,,,,,,,,,,,,,,,,5,,,,,,20721,,M,,,,,,,,1.0,,,
0.0,0.0,,,,Matthew Mineo,0.0,5.10098,0.165348,,0.165348,,1.0,0.0,,0.0,0.0,0,0.00162075,0.0,1.0,,,,5,0.0,0.0,0.0,,,2264,0.0,D,,0.165348,0,0.00174871,,,,4.0,,0.0,0.0
-1.0,1.0,,,,Blake Phillips,0.0,0.429814,0.126177,0.0,1.51412,,12.0,0.0,,0.0517078,0.0,0,0.014678,7.0,7.0,,,-0.913268,5,0.0,0.0,0.051539,-0.456634,,2359,1.0,M,,1.46258,0,0.0176919,0.913268,,0.5,4.0,,14.0,2.0
-2.0,0.0,,,,Michael Gottlieb,0.0,-8.77933,-0.166275,,-0.33255,,2.0,0.0,,1.78909,0.0,0,0.00094697,0.0,0.0,,,,5,0.0,0.0,-0.33255,,,1847,2.0,M,,0.0,0,0.00102265,,,,3.0,,0.0,0.0
-1.0,0.0,,,,Jason Child,0.0,0.537716,0.02546,,0.0763801,,3.0,0.0,,0.311146,0.379876,0,0.00236742,1.0,0.0,,,,5,0.0,0.0,-0.165348,,,16198,1.0,A,,-0.138148,0,0.00294012,,,,2.0,,3.0,0.0
45.0,61.0,,,,Timmy Ley,0.0,2.28945,3.4255,0.346535,44.5316,,13.0,0.225225,,0.140101,0.189938,0,0.0748106,1.0,2.0,,,-6.80427,5,25.0,35.0,41.8985,-0.067369,,1843,15.0,A,,2.44311,0,0.0979445,41.8043,,0.60396,4.0,,14.0,101.0
-4.0,3.0,,,,Will Carson,0.0,0.553102,0.293312,0.333333,3.81305,,13.0,0.0,,0.142217,0.379876,0,0.0265152,10.0,11.0,,,-0.43218,5,0.0,1.0,0.376302,-0.14406,,1854,5.0,D,,3.05687,0,0.0321624,1.43218,,1.0,4.0,,27.0,3.0
0.0,0.0,,3.0,1.10794,Alex Gainey,0.0,-1.40747,-0.0266566,,-0.0266566,-0.892056,1.0,0.0,0.3333,0.0,0.0,0,0.00094697,0.0,0.0,-0.297352,2.0,,5,0.0,0.0,0.0,,3.0,16210,0.0,G,3.0,-0.0266566,0,0.000536892,,,,2.0,0.75,0.0,0.0
-2.0,1.0,,,,Jimmy O'Connell,0.0,1.44686,0.123312,0.0,0.739869,,6.0,0.018018,,0.630517,0.0,0,0.00426136,0.0,0.0,,,-0.777323,5,2.0,0.0,0.549931,-0.388661,,20722,4.0,A,,0.189938,0,0.00580355,0.777323,,0.5,1.0,,1.0,2.0
0.0,0.0,,,,Mike DiIorio,0.0,-32.7345,-0.356779,,-0.356779,,1.0,0.0,,0.0,0.0,0,0.000544959,1.0,0.0,,,,5,0.0,0.0,0.0,,,16199,0.0,M,,-0.356779,0,0.000588183,,,,2.0,,0.0,0.0
0.0,0.0,,,,John Marshall,0.0,17.4536,0.19023,0.0,0.19023,,1.0,0.0,,0.0,0.0,0,0.000544959,0.0,0.0,,,-0.345986,5,0.0,0.0,0.19023,-0.345986,,16214,0.0,D,,0.0,0,0.000617593,0.345986,,0.0,2.0,,0.0,1.0
7.0,23.0,,,,Christian Quadrino,0.0,2.00664,1.14014,0.378378,14.8218,,13.0,0.045045,,0.314105,0.0,0,0.0284091,0.0,0.0,,,-1.13212,5,5.0,14.0,13.6822,-0.0305977,,16200,12.0,A,,1.13963,0,0.0349491,15.1321,,0.621622,2.0,,6.0,37.0
0.0,0.0,,12.0,5.9025,Will Barnes,0.0,-0.228852,-0.0281731,,-0.169039,-0.0974994,6.0,0.0,0.5,0.0,0.0,0,0.0061553,0.0,0.0,-0.00812495,6.0,,5,0.0,0.0,0.0,,13.0,20723,0.0,G,13.0,-0.159939,0,0.00373268,,,,1.0,0.52,0.0,0.0
-3.0,1.0,,,,Trey Brown,0.0,1.11355,0.27417,0.0,3.01587,,11.0,0.0,,0.183811,0.759752,0,0.0123106,1.0,6.0,,,-1.52255,5,0.0,0.0,0.101304,-0.380637,,20724,3.0,D,,2.15481,0,0.0149307,1.52255,,0.25,1.0,,12.0,4.0
-1.0,0.0,,,,Robert Gallop,0.0,-1.29972,-0.0984634,,-0.492317,,5.0,0.0,,0.21686,0.0,0,0.00378788,3.0,3.0,,,,5,0.0,0.0,-0.165348,,,1850,1.0,M,,-0.326969,0,0.00421844,,,,3.0,,1.0,0.0
-1.0,0.0,,,,Christian Brofft,0.0,-15.1707,-0.165348,,-0.165348,,1.0,0.0,,1.72823,0.0,0,0.000544959,0.0,0.0,,,,5,0.0,0.0,-0.165348,,,16215,1.0,M,,0.0,0,0.000588183,,,,2.0,,0.0,0.0
,,,,,Brendan Wilcox,,,,,,,,,,,,,,,,,,,5,,,,,,16202,,A,,,,,,,,2.0,,,
-3.0,12.0,,,,Matt Hilburn,0.0,1.20735,0.445897,0.263158,5.35076,,12.0,0.027027,,0.447782,0.0,0,0.0184659,0.0,2.0,,,-2.91562,5,3.0,5.0,4.26031,-0.153454,,1845,11.0,A,,1.09045,0,0.0224728,7.91562,,0.631579,4.0,,4.0,19.0
-1.0,0.0,,,,Tim Barrett,0.0,0.600214,0.0113677,,0.0227354,,2.0,0.0,,0.795152,0.0,0,0.00094697,0.0,0.0,,,,5,0.0,0.0,-0.167203,,,16203,1.0,D,,0.189938,0,0.00115048,,,,2.0,,1.0,0.0
0.0,0.0,,,,Matt Caccese,0.0,0.319147,0.00906667,,0.0272,,3.0,0.0,,0.0,0.0,0,0.00142045,1.0,1.0,,,,5,0.0,0.0,0.0,,,20725,0.0,D,,0.0272,0,0.00166181,,,,1.0,,1.0,0.0
0.0,4.0,,,,Reilly Sullivan,0.0,3.06581,0.145161,0.25,0.580646,,4.0,0.0,,0.344056,0.0,0,0.00236742,0.0,0.0,,,-1.01083,5,0.0,1.0,0.580646,-0.252707,,16204,1.0,M,,0.0,0,0.00265889,2.01083,,1.0,2.0,,0.0,4.0
0.0,0.0,1.0,,,Benjamin Ferrara,4.0,4.62647,0.175245,,0.35049,,2.0,0.0,,0.0,0.35049,2,0.00189394,0.0,0.0,,,,5,0.0,0.0,0.0,,,20726,0.0,M,,0.0,2,0.000511326,,,,1.0,,0.0,0.0
,,,,,Mario Hemann,,,,,,,,,,,,,,,,,,,5,,,,,,16205,,G,,,,,,,,2.0,,,
,,,,,Harry Friedman,,,,,,,,,,,,,,,,,,,5,,,,,,16207,,M,,,,,,,,2.0,,,
-10.0,0.0,,273.0,122.154,Matt Garber,0.0,0.0708785,0.147663,,1.91963,-1.84591,13.0,0.0,0.5458,0.202845,0.379876,0,0.104167,2.0,5.0,-0.00676157,124.0,,5,0.0,0.0,-1.66646,,284.0,2143,10.0,G,284.0,3.22441,0,0.0450989,,,,4.0,0.6339,39.0,0.0
14.0,33.0,,,,Jake Cates,0.0,2.63959,2.42463,0.355932,26.6709,,11.0,0.0810811,,0.257423,0.0,0,0.045928,1.0,3.0,,,-4.76472,5,9.0,21.0,24.7935,-0.080758,,1837,16.0,M,,1.8774,0,0.0568594,25.7647,,0.559322,4.0,,9.0,59.0
-3.0,2.0,,,,Donnie Howard,0.0,1.00154,0.303498,0.2,3.64198,,12.0,0.0,,0.201588,1.13963,0,0.0151515,3.0,7.0,,,-1.07828,5,0.0,1.0,1.08568,-0.215656,,2266,4.0,M,,1.41666,0,0.0181521,2.07828,,0.4,3.0,,13.0,5.0
