status,league,pregame_home_wp,away_ID,traversals_70_30,tension_game_score,home_ID,elo_transfer,home_score,game_date,away_score,ID
completedFromNCAA,NCAA D1 Women,0.565676,89,2,77.0,170,33.559,10,2022-02-16,12,10484
completedFromNCAA,NCAA D1 Women,0.962683,107,1,132.0,89,1.568,23,2022-02-24,14,10485
completedFromNCAA,NCAA D1 Women,0.0650313,89,1,138.0,108,65.664,10,2022-02-27,23,10486
completedFromNCAA,NCAA D1 Women,0.869793,89,2,81.0,119,46.369,14,2022-03-05,17,10487
completedFromNCAA,NCAA D1 Women,0.898346,165,1,121.0,89,2.824,16,2022-03-09,6,10488
completedFromNCAA,NCAA D1 Women,0.702064,157,1,141.0,89,14.016,21,2022-03-13,14,10489
completedFromNCAA,NCAA D1 Women,0.247061,89,0,158.0,104,49.978,11,2022-03-22,16,10490
completedFromNCAA,NCAA D1 Women,0.763308,149,2,106.0,89,8.302,15,2022-03-26,11,10491
completedFromNCAA,NCAA D1 Women,0.994836,162,1,147.0,89,0.216,20,2022-03-30,8,10492
completedFromNCAA,NCAA D1 Women,0.892143,128,1,176.0,89,2.969,18,2022-04-02,15,10493
completedFromNCAA,NCAA D1 Women,0.825985,89,3,68.0,127,2.522,14,2022-04-09,13,10494
completedFromNCAA,NCAA D1 Women,0.951317,131,1,111.0,89,0.821,16,2022-04-16,15,10495
completedFromLiveStats,NCAA D1 Women,0.228251,89,0,140.0,158,53.046,14,2022-04-20,20,10496
completedFromNCAA,NCAA D1 Women,0.997882,129,1,158.0,89,0.09,22,2022-04-23,15,10497
scheduled,NCAA D1 Women,0.111258,89,,,130,,,2022-04-29,,10498
completedFromNCAA,NCAA D1 Men,0.320055,25,0,136.0,10,54.35,8,2022-03-29,16,10499
completedFromNCAA,NCAA D1 Men,0.777386,25,1,139.0,54,5.81,14,2022-03-19,7,10500
completedFromNCAA,NCAA D1 Men,0.0694992,46,1,89.0,25,25.845,7,2022-04-02,14,10501
completedFromNCAA,NCAA D1 Men,0.652092,25,0,96.0,20,56.256,11,2022-04-09,21,10502
scheduled,NCAA D1 Men,0.980071,25,,,11,,,2022-04-28,,10503
completedFromNCAA,NCAA D1 Men,0.223114,63,3,83.0,57,10.722,14,2022-02-12,15,10504
completedFromNCAA,NCAA D1 Men,0.548978,63,0,82.0,87,13.275,12,2022-02-16,7,10505
completedFromNCAA,NCAA D1 Men,0.318693,63,0,76.0,10,20.995,13,2022-02-25,10,10506
completedFromNCAA,NCAA D1 Men,0.368796,48,0,37.0,63,12.31,8,2022-03-26,9,10507
completedFromNCAA,NCAA D1 Men,0.517884,63,0,83.0,17,36.448,10,2022-04-09,15,10508
completedFromNCAA,NCAA D1 Men,0.951716,63,1,164.0,11,1.518,21,2022-04-16,9,10509
scheduled,NCAA D1 Men,0.966488,63,,,52,,,2022-04-26,,10510
scheduled,NCAA D1 Men,0.603086,63,,,70,,,2022-04-30,,10511
completedFromNCAA,NCAA D1 Men,0.737678,70,0,198.0,87,7.195,14,2022-02-12,7,10513
completedFromNCAA,NCAA D1 Men,0.218255,9,0,167.0,70,27.575,8,2022-02-19,13,10514
completedFromNCAA,NCAA D1 Men,0.453271,70,0,135.0,57,30.121,10,2022-02-27,14,10515
completedFromNCAA,NCAA D1 Men,0.608196,70,0,54.0,17,4.167,9,2022-03-20,8,10516
completedFromNCAA,NCAA D1 Men,0.772015,70,0,137.0,48,64.533,1,2022-04-02,10,10517
completedFromNCAA,NCAA D1 Men,0.452843,70,0,123.0,20,25.055,8,2022-04-23,11,10518
completedFromNCAA,NCAA D1 Men,0.356656,86,0,131.0,20,19.299,9,2022-02-27,11,10519
completedFromNCAA,NCAA D1 Men,0.860245,57,1,90.0,86,2.525,16,2022-03-05,10,10520
completedFromNCAA,NCAA D1 Men,0.477333,86,0,131.0,87,21.528,16,2022-03-26,7,10521
completedFromNCAA,NCAA D1 Men,0.624304,69,0,142.0,86,10.14,14,2022-04-02,9,10522
completedFromNCAA,NCAA D1 Men,0.182675,86,1,57.0,10,20.51,8,2022-04-09,11,10523
scheduled,NCAA D1 Men,0.235567,24,,,86,,,2022-04-30,,10524
completedFromNCAA,NCAA D1 Women,0.504212,90,0,166.0,135,69.157,4,2022-02-12,13,10525
completedFromNCAA,NCAA D1 Women,0.391298,139,0,147.0,90,39.556,17,2022-02-18,7,10526
completedFromNCAA,NCAA D1 Women,0.962459,136,1,116.0,90,2.209,20,2022-02-20,3,10527
completedFromNCAA,NCAA D1 Women,0.392301,90,1,108.0,120,56.696,10,2022-02-25,16,10528
completedFromNCAA,NCAA D1 Women,0.971137,90,1,114.0,98,1.242,19,2022-02-28,9,10529
completedFromNCAA,NCAA D1 Women,0.970565,90,1,115.0,110,1.584,24,2022-03-05,5,10530
completedFromNCAA,NCAA D1 Women,0.244978,90,1,114.0,114,66.838,8,2022-03-07,18,10531
completedFromNCAA,NCAA D1 Women,0.390793,166,1,90.0,90,20.187,13,2022-03-12,14,10532
completedFromNCAA,NCAA D1 Women,0.0912588,125,1,138.0,90,62.242,8,2022-03-16,18,10533
completedFromNCAA,NCAA D1 Women,0.82543,90,1,139.0,144,7.592,14,2022-03-20,7,10534
completedFromNCAA,NCAA D1 Women,0.586738,90,1,114.0,137,42.601,10,2022-03-23,13,10535
completedFromNCAA,NCAA D1 Women,0.720421,153,0,99.0,90,14.934,16,2022-03-26,6,10536
completedFromNCAA,NCAA D1 Women,0.876657,132,1,137.0,90,3.064,14,2022-04-02,11,10537
completedFromNCAA,NCAA D1 Women,0.792932,90,3,101.0,92,9.207,19,2022-04-09,12,10538
completedFromNCAA,NCAA D1 Women,0.132105,91,1,72.0,90,46.924,10,2022-04-16,15,10539
completedFromNCAA,NCAA D1 Women,0.739357,90,1,120.0,93,61.626,9,2022-04-23,15,10540
completedFromNCAA,NCAA D1 Women,0.408236,191,0,127.0,91,39.444,16,2022-02-12,5,10541
completedFromNCAA,NCAA D1 Women,0.777939,131,1,100.0,91,8.591,12,2022-02-16,7,10542
